case_no,date,country_or_us_state,locality,entry_verbatim
1,1952,SOUTH AFRICA,WORCESTER CAPE,"1952 SOUTH AFRICA, WORCESTER CAPE"
2,1952/07/22,AUSTRALIA,SYDNEY,"1952/07/22 AUSTRALIA, NSW, SYDNEY"
3,1952/07/24,ITALY,VICO,"1952/07/24 ITALY, VICO"
4,1954/09/10,FRANCE,VALENCIENNES,"1954/09/10 FRANCE, VALENCIENNES"
5,1954/09/17,FRANCE,CENON,"1954/09/17 FRANCE, CENON"
6,1954/09/28,FRANCE,BOUZAIS,"1954/09/28 FRANCE, BOUZAIS"
7,1954/09/30,FRANCE,MARCILLY-SUR-VIENNE,"1954/09/30 FRANCE, MARCILLY-SUR-VIENNE"
8,1954/10/01,FRANCE,BRY,"1954/10/01 FRANCE, BRY"
9,1954/10/05,FRANCE,LE MANS,"1954/10/05 FRANCE, LE MANS"
10,1954/10/07,FRANCE,MONTEUX,"1954/10/07 FRANCE, MONTEUX"
11,1954/10/09,FRANCE,LAVOUX,"1954/10/09 FRANCE, LAVOUX"
12,1954/10/11,FRANCE,SASSIER,"1954/10/11 FRANCE, SASSIER"
13,1954/10/13,FRANCE,BOURRASOLE,"1954/10/13 FRANCE, BOURRASOLE"
14,1954/10/16,FRANCE,BAILLOLET,"1954/10/16 FRANCE, BAILLOLET"
15,1954/10/18,FRANCE,COHEIX,"1954/10/18 FRANCE, near COHEIX"
16,1954/10/20,FRANCE,TURQUENSTEIN,"1954/10/20 FRANCE, TURQUENSTEIN"
17,1954/10/20,ITALY,PARRAVICINO D'ERBA,"1954/10/20 ITALY, PARRAVICINO D'ERBA"
18,1954/10/21,ITALY,MELITO,"1954/10/21 ITALY, MELITO"
19,1954/10/21,FRANCE,LA ROCHELLE,"1954/10/21 FRANCE, LA ROCHELLE"
20,1954/10/21,FRANCE,POUZOU,"1954/10/21 FRANCE, POUZOU"
21,1954/10/21,ENGLAND,RANTON,"1954/10/21 ENGLAND, RANTON, STAFFORDSHIRE"
22,1954/10/26,FRANCE,LA MADIERE,"1954/10/26 FRANCE, LA MADIERE"
23,1954/10/27,FRANCE,LINZEUX,"1954/10/27 FRANCE, LINZEUX"
24,1954/11/02,BRAZIL,SANTO AMARO,"1954/11/02 BRAZIL, SANTO AMARO"
25,1954/11/05,FRANCE,LA ROCHE-EN-BRENIL,"1954/11/05 FRANCE, LA ROCHE-EN-BRENIL"
26,1954/11/08,FRANCE,LA-TESSOUALLE,"1954/11/08 FRANCE, LA-TESSOUALLE"
27,1954/11/08,ENGLAND,CROYDON,"1954/11/08 ENGLAND, CROYDON, SURREY"
28,1954/11/13,FRANCE,BUCHY,"1954/11/13 FRANCE, near BUCHY"
29,1954/11/14,ITALY,ISOLA,"1954/11/14 ITALY, ISOLA"
30,1054/11/14,VENEZUELA,VALENCIA,"1054/11/14 VENEZUELA, VALENCIA"
31,1955,VIRGINIA,,1955 VIRGINIA
32,1955/01/23,PENNSYLVANIA,DARBY TOWNSHIP,"1955/01/23 PENNSYLVANIA, DARBY TOWNSHIP"
33,1955/03/30,ARIZONA,TUCSON,"1955/03/30 ARIZONA, near TUCSON"
34,1955/07/17,ENGLAND,KENT,"1955/07/17 ENGLAND, KENT"
35,1956/09,FRANCE,SERDON,"1956/09 FRANCE, SERDON"
36,1956/10/02,NEW JERSEY,TRENTON,"1956/10/02 NEW JERSEY, TRENTON"
37,1957/09,BRAZIL,CAMPINAS,"1957/09 BRAZIL, CAMPINAS"
38,1957/11/02,TEXAS,LEVELLAND,"1957/11/02 TEXAS, nr. LEVELLAND"
39,1957/11/04,BRAZIL,FORT ITAIPU,"1957/11/04 BRAZIL, FORT ITAIPU"
40,1957/11/04,NEW MEXICO,OROGRANDE,"1957/11/04 NEW MEXICO, near OROGRANDE"
41,1957/11/05,TEXAS,SAN ANTONIO,"1957/11/05 TEXAS, SAN ANTONIO"
42,1957/11/10,OHIO,MADISON,"1957/11/10 OHIO, MADISON"
43,1957/12/07,TEXAS,DALLAS,"1957/12/07 TEXAS, DALLAS"
44,1958,OHIO,MADISON,"1958 OHIO, MADISON"
45,1958/01/27,PERU,AREQUIPA,"1958/01/27 PERU, AREQUIPA"
46,1958,NEW HAMPSHIRE,BETHLEHEM,"1958 NEW HAMPSHIRE, BETHLEHEM"
47,1958/10/26,MARYLAND,LOCH RAVEN DAM,"1958/10/26 MARYLAND, LOCH RAVEN DAM"
48,1959/04/24,BRAZIL,PIATA,"1959/04/24 BRAZIL, PIATA"
49,1959/04/27,BRAZIL,SAO PAULO,"1959/04/27 BRAZIL, SAO PAULO"
50,1959/09/27,OREGON,COOS BAY,"1959/09/27 OREGON, COOS BAY"
51,1959/10,SWEDEN,MARIANNELUND,"1959/10 SWEDEN, MARIANNELUND"
52,1960/03/02,AUSTRIA,LABUTTENDORF,"1960/03/02 AUSTRIA, LABUTTENDORF"
53,1960/04,FRANCE,PUY-DE-DOME,"1960/04 FRANCE, PUY-DE-DOME"
54,1960/09,FLORIDA,BRUNNEL/ST. AUGUSTINE,"1960/09 FLORIDA, BRUNNEL/ST. AUGUSTINE"
55,1961/03,ENGLAND,PATERSON'S GROYNE,"1961/03 ENGLAND, PATERSON'S GROYNE, near DURHAN"
56,1962/11,ARGENTINA,SALTA/SAN MIGUEL DE TUCUMAN,"1962/11 ARGENTINA, SALTA/SAN MIGUEL DE TUCUMAN"
57,1963/08/04,ILLINOIS,WAYNE CITY,"1963/08/04 ILLINOIS, WAYNE CITY"
58,1963/10,BRAZIL,MONTE-MAIZ,"1963/10 BRAZIL, MONTE-MAIZ"
59,1964/04/14,CALIFORNIA,CHICO,"1964/04/14 CALIFORNIA, nr. CHICO"
60,1964/06/02,NEW MEXICO,HOBBS,"1964/06/02 NEW MEXICO, HOBBS"
61,1964/06/29,GEORGIA,LAVONIA,"1964/06/29 GEORGIA, nr. LAVONIA"
62,1964/09/14,FRANCE,VALENCIENNES,"1964/09/14 FRANCE, VALENCIENNES"
